,id_disciplina,nome_componete_curricular,taxa_reprov,n
79,18725,"GESTÃO, PLANEJAMENTO, PROJETOS E EXTENSÃO EM PISCICULTURA",0.41304347826086957,46
80,26984,PRODUÇÃO DE PASTAGEM E MANEJO ALIMENTAR,0.4117647058823529,68
81,25667,BANCO DE DADOS,0.41025641025641024,39
82,26991,TÉCNICAS DE MANEJO DAS ABELHAS SEM FERRÃO,0.41025641025641024,117
83,26997,DOENÇAS E INIMIGOS NATURAIS DE ABELHAS SEM FERRÃO,0.41025641025641024,117
84,26976,HORTALIÇAS TUBEROSAS,0.4097222222222222,288
85,27925,O SUS E AS POLÍTICAS PÚBLICAS EM SAÚDE,0.40384615384615385,52
86,27927,ÉTICA PROFISSIONAL E RELAÇÕES INTERPESSOAIS,0.40384615384615385,52
87,27923,SOCIEDADE E CIDADANIA,0.40384615384615385,52
88,18096,INICIAÇÃO À PESQUISA CIENTÍFICA,0.3989071038251366,366
89,18093,NOÇÕES DE ANATOMIA E FISIOLOGIA DO SISTEMA ESTOMATOGNÁTICO,0.3970223325062035,403
90,26972,"SISTEMA ALTERNATIVO DE CRIAÇÃO DE AVES (CAIPIRA, ORNAMENTAIS E CODORNA)",0.39690721649484534,194
91,27930,UNIDADE CURRICULAR DE EXTENSÃO TÉCNICA I,0.39622641509433965,53
92,28188,SEMIOTÉCNICA,0.39622641509433965,159
93,26951,HORTALIÇAS HERBÁCEAS,0.3958333333333333,288
94,25671,PROJETO DE DESENVOLVIMENTO DE SISTEMAS,0.39473684210526316,38
95,25669,MONTAGEM E MANUTENÇÃO,0.39473684210526316,38
96,31319,FINANÇAS BÁSICAS,0.391304347826087,46
97,31315,"NOÇÕES DE EMPRENDEDORISMO, COOPERATIVISMO E ECONOMIA SOLIDÁRIA",0.391304347826087,46
98,25664,LINGUAGEM DE PROGRAMAÇÃO,0.3898305084745763,59
99,26950,HORTALIÇAS FOLHOSAS,0.3888888888888889,288
100,18731,MANEJO E ENGORDA DE CAMARÕES,0.3870967741935484,31
101,18732,PROCESSAMENTO DE CAMARÕES,0.3870967741935484,31
102,18730,CULTIVO DE FITOPLÂNCTON E ZOOPLÂNCTON,0.3870967741935484,31
103,18729,REPRODUÇÃO E LARVICULTURA DE CAMARÕES,0.3870967741935484,31
104,18727,INSTALAÇÕES E UTENSÍLIOS PARA O CULTIVO DE CAMARÕES,0.3870967741935484,31
105,18728,NUTRIÇÃO/ALIMENTAÇÃO DE CAMARÕES,0.3870967741935484,31
106,18734,ECOLOGIA E QUALIDADE DE AMBIENTES AQUÁTICOS EM RANICULTURA,0.38636363636363635,44
107,25666,SERVIÇOS DE REDES,0.38333333333333336,60
